69	 7.9250000000e+001	 9.93812e-001
70	 7.9312500000e+001	 9.95895e-001
71	 7.9375000000e+001	 9.97415e-001
72	 7.9437500000e+001	 9.87390e-001
73	 7.9500000000e+001	 9.95196e-001
74	 7.9562500000e+001	 9.75443e-001
75	 7.9625000000e+001	 9.92350e-001
76	 7.9687500000e+001	 9.96787e-001
77	 7.9750000000e+001	 9.96066e-001
78	 7.9812500000e+001	 9.92230e-001
79	 7.9875000000e+001	 9.82945e-001
80	 7.9937500000e+001	 9.78469e-001
81	 8.0000000000e+001	 9.88743e-001
82	 8.0062500000e+001	 9.76683e-001
83	 8.0125000000e+001	 9.86210e-001
84	 8.0187500000e+001	 9.94374e-001
85	 8.0250000000e+001	 9.77085e-001
86	 8.0312500000e+001	 9.85660e-001
87	 8.0375000000e+001	 9.62248e-001
88	 8.0437500000e+001	 9.60968e-001
89	 8.0500000000e+001	 9.90898e-001
90	 8.0562500000e+001	 9.77967e-001
91	 8.0625000000e+001	 9.87723e-001
92	 8.0687500000e+001	 9.66952e-001
93	 8.0750000000e+001	 9.71895e-001
94	 8.0812500000e+001	 9.59012e-001
95	 8.0875000000e+001	 9.87203e-001
96	 8.0937500000e+001	 9.68723e-001
97	 8.1000000000e+001	 8.72823e-001
98	 8.1062500000e+001	 8.98391e-001
99	 8.1125000000e+001	 9.14992e-001
100	 8.1187500000e+001	 8.30846e-001
101	 8.1250000000e+001	 9.44789e-001
102	 8.1312500000e+001	 8.73362e-001
103	 8.1375000000e+001	 8.06294e-001
104	 8.1437500000e+001	 8.16637e-001
105	 8.1500000000e+001	 8.34975e-001
106	 8.1562500000e+001	 8.84385e-001
107	 8.1625000000e+001	 6.47163e-001
108	 8.1687500000e+001	 5.52618e-001
109	 8.1750000000e+001	 8.55216e-001
110	 8.1812500000e+001	 8.43873e-001
111	 8.1875000000e+001	 8.20675e-001
112	 8.1937500000e+001	 8.20692e-001
113	 8.2000000000e+001	 4.11896e-001
114	 8.2062500000e+001	 5.89352e-001
115	 8.2125000000e+001	 7.49550e-001
116	 8.2187500000e+001	 7.91320e-001
117	 8.2250000000e+001	 5.17501e-001
118	 8.2312500000e+001	 6.34446e-001
119	 8.2375000000e+001	 3.71505e-001
120	 8.2437500000e+001	 2.07500e-001
121	 8.2500000000e+001	 3.34150e-001
122	 8.2562500000e+001	 1.58112e-001
123	 8.2625000000e+001	 2.88854e-001
124	 8.2687500000e+001	 3.19990e-001
125	 8.2750000000e+001	 5.47405e-001
126	 8.2812500000e+001	 4.73415e-001
127	 8.2875000000e+001	 7.08658e-001
128	 8.2937500000e+001	 4.24027e-001
129	 8.3000000000e+001	 6.66017e-001
130	 8.3062500000e+001	 4.83260e-001
131	 8.3125000000e+001	 8.16802e-001
132	 8.3187500000e+001	 7.30499e-001
133	 8.3250000000e+001	 8.39604e-001
134	 8.3312500000e+001	 7.08829e-001
135	 8.3375000000e+001	 8.17241e-001
136	 8.3437500000e+001	 8.79772e-001
137	 8.3500000000e+001	 8.28252e-001
138	 8.3562500000e+001	 8.96430e-001
139	 8.3625000000e+001	 9.46573e-001
140	 8.3687500000e+001	 9.04492e-001
141	 8.3750000000e+001	 8.82587e-001
142	 8.3812500000e+001	 9.74378e-001
143	 8.3875000000e+001	 9.65377e-001
144	 8.3937500000e+001	 9.39241e-001
145	 8.4000000000e+001	 9.27582e-001
146	 8.4062500000e+001	 9.33430e-001
147	 8.4125000000e+001	 9.48051e-001
148	 8.4187500000e+001	 9.51312e-001
149	 8.4250000000e+001	 9.76861e-001
150	 8.4312500000e+001	 9.85256e-001
151	 8.4375000000e+001	 9.55172e-001
152	 8.4437500000e+001	 9.43379e-001
153	 8.4500000000e+001	 9.32917e-001
154	 8.4562500000e+001	 9.66486e-001
155	 8.4625000000e+001	 9.35413e-001
156	 8.4687500000e+001	 9.66307e-001
157	 8.4750000000e+001	 9.56830e-001
158	 8.4812500000e+001	 9.53186e-001
159	 8.4875000000e+001	 9.40893e-001
160	 8.4937500000e+001	 9.46045e-001
161	 8.5000000000e+001	 9.71114e-001
162	 8.5062500000e+001	 9.71504e-001
163	 8.5125000000e+001	 9.53762e-001
164	 8.5187500000e+001	 9.85658e-001
165	 8.5250000000e+001	 9.09690e-001
166	 8.5312500000e+001	 8.49896e-001
167	 8.5375000000e+001	 9.76855e-001
168	 8.5437500000e+001	 9.97810e-001
169	 8.5500000000e+001	 9.84267e-001
170	 8.5562500000e+001	 9.59081e-001
171	 8.5625000000e+001	 9.78546e-001
172	 8.5687500000e+001	 9.80749e-001
173	 8.5750000000e+001	 9.91740e-001
174	 8.5812500000e+001	 9.72837e-001
175	 8.5875000000e+001	 9.05192e-001
176	 8.5937500000e+001	 9.66141e-001
177	 8.6000000000e+001	 9.66602e-001
178	 8.6062500000e+001	 9.62260e-001
179	 8.6125000000e+001	 9.55878e-001
180	 8.6187500000e+001	 9.69393e-001
181	 8.6250000000e+001	 9.95763e-001
182	 8.6312500000e+001	 9.97278e-001
183	 8.6375000000e+001	 9.96521e-001
184	 8.6437500000e+001	 9.92877e-001
185	 8.6500000000e+001	 9.91159e-001
186	 8.6562500000e+001	 9.96518e-001
187	 8.6625000000e+001	 9.96875e-001
188	 8.6687500000e+001	 9.96546e-001
189	 8.6750000000e+001	 9.87437e-001
190	 8.6812500000e+001	 9.84939e-001
191	 8.6875000000e+001	 9.91140e-001
192	 8.6937500000e+001	 9.87819e-001
193	 8.7000000000e+001	 9.84821e-001
194	 8.7062500000e+001	 9.77303e-001
195	 8.7125000000e+001	 9.74582e-001
196	 8.7187500000e+001	 9.95077e-001
197	 8.7250000000e+001	 9.96973e-001
198	 8.7312500000e+001	 9.94542e-001
199	 8.7375000000e+001	 9.94971e-001
200	 8.7437500000e+001	 9.95781e-001
201	 8.7500000000e+001	 9.96313e-001
202	 8.7562500000e+001	 9.93516e-001
203	 8.7625000000e+001	 9.85845e-001
204	 8.7687500000e+001	 9.84459e-001
205	 8.7750000000e+001	 9.96564e-001
206	 8.7812500000e+001	 9.94706e-001
207	 8.7875000000e+001	 9.96350e-001
208	 8.7937500000e+001	 9.95716e-001
209	 8.8000000000e+001	 9.95068e-001
210	 8.8062500000e+001	 9.91368e-001
211	 8.8125000000e+001	 9.94147e-001
212	 8.8187500000e+001	 9.91193e-001
213	 8.8250000000e+001	 9.90315e-001
214	 8.8312500000e+001	 9.96609e-001
215	 8.8375000000e+001	 9.94909e-001
216	 8.8437500000e+001	 9.89835e-001
217	 8.8500000000e+001	 9.86716e-001
218	 8.8562500000e+001	 9.95133e-001
219	 8.8625000000e+001	 9.96261e-001
220	 8.8687500000e+001	 9.90678e-001
221	 8.8750000000e+001	 9.83936e-001
222	 8.8812500000e+001	 9.95499e-001
223	 8.8875000000e+001	 9.98006e-001
224	 8.8937500000e+001	 9.88386e-001
225	 8.9000000000e+001	 9.82976e-001
226	 8.9062500000e+001	 9.92604e-001
227	 8.9125000000e+001	 9.95681e-001
228	 8.9187500000e+001	 9.90184e-001
229	 8.9250000000e+001	 9.93852e-001
230	 8.9312500000e+001	 9.93212e-001
231	 8.9375000000e+001	 9.90346e-001
232	 8.9437500000e+001	 9.95525e-001
233	 8.9500000000e+001	 9.95834e-001
234	 8.9562500000e+001	 9.98630e-001
235	 8.9625000000e+001	 9.92856e-001
236	 8.9687500000e+001	 9.84001e-001
237	 8.9750000000e+001	 9.85648e-001
238	 8.9812500000e+001	 9.84847e-001
239	 8.9875000000e+001	 9.85722e-001
240	 8.9937500000e+001	 9.90324e-001
241	 9.0000000000e+001	 9.94975e-001
242	 9.0062500000e+001	 9.95727e-001
243	 9.0125000000e+001	 9.91668e-001
244	 9.0187500000e+001	 9.87532e-001
245	 9.0250000000e+001	 9.95348e-001
246	 9.0312500000e+001	 9.94327e-001
247	 9.0375000000e+001	 9.91165e-001
248	 9.0437500000e+001	 9.94064e-001
249	 9.0500000000e+001	 9.97642e-001
